date,open,high,low,close,volume
2013-06-03 00:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 01:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 02:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 03:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 04:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 05:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 06:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 07:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 08:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 09:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 10:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 11:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 12:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 13:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 14:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 15:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 16:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 17:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 18:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 19:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 20:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 21:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 22:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-03 23:00:00,1.309758,1.309758,1.309758,1.309758,50
2013-06-04 00:00:00,1.309758,1.310753,1.309611,1.310606,50
2013-06-04 01:00:00,1.310606,1.310834,1.309928,1.310156,50
2013-06-04 02:00:00,1.310156,1.310164,1.309881,1.309889,50
2013-06-04 03:00:00,1.309889,1.310294,1.309798,1.310204,50
2013-06-04 04:00:00,1.310204,1.310316,1.310066,1.310179,50
2013-06-04 05:00:00,1.310179,1.310394,1.309804,1.310020,50
2013-06-04 06:00:00,1.310020,1.310064,1.309910,1.309954,50
2013-06-04 07:00:00,1.309954,1.310015,1.309835,1.309895,50
2013-06-04 08:00:00,1.309895,1.309954,1.309397,1.309456,50
2013-06-04 09:00:00,1.309456,1.309467,1.308783,1.308794,50
2013-06-04 10:00:00,1.308794,1.308953,1.307621,1.307780,50
2013-06-04 11:00:00,1.307780,1.308039,1.307587,1.307847,50
2013-06-04 12:00:00,1.307847,1.308436,1.307744,1.308333,50
2013-06-04 13:00:00,1.308333,1.308342,1.307858,1.307867,50
2013-06-04 14:00:00,1.307867,1.308247,1.307699,1.308079,50
2013-06-04 15:00:00,1.308079,1.308800,1.307905,1.308627,50
2013-06-04 16:00:00,1.308627,1.308781,1.307337,1.307491,50
2013-06-04 17:00:00,1.307491,1.307568,1.306848,1.306925,50
2013-06-04 18:00:00,1.306925,1.307359,1.306730,1.307164,50
2013-06-04 19:00:00,1.307164,1.307529,1.307016,1.307380,50
2013-06-04 20:00:00,1.307380,1.307519,1.306975,1.307114,50
2013-06-04 21:00:00,1.307114,1.307241,1.306861,1.306988,50
2013-06-04 22:00:00,1.306988,1.307043,1.306628,1.306683,50
2013-06-04 23:00:00,1.306683,1.307639,1.306576,1.307531,50
2013-06-05 00:00:00,1.307531,1.307714,1.305985,1.306167,50
2013-06-05 01:00:00,1.306167,1.306934,1.305940,1.306707,50
2013-06-05 02:00:00,1.306707,1.307103,1.306685,1.307080,50
2013-06-05 03:00:00,1.307080,1.307313,1.307059,1.307291,50
2013-06-05 04:00:00,1.307291,1.307531,1.307114,1.307355,50
2013-06-05 05:00:00,1.307355,1.307460,1.307280,1.307385,50
2013-06-05 06:00:00,1.307385,1.307476,1.307244,1.307336,50
2013-06-05 07:00:00,1.307336,1.307773,1.307129,1.307566,50
2013-06-05 08:00:00,1.307566,1.307742,1.307100,1.307275,50
2013-06-05 09:00:00,1.307275,1.308152,1.307120,1.307996,50
2013-06-05 10:00:00,1.307996,1.308844,1.307792,1.308640,50
2013-06-05 11:00:00,1.308640,1.308960,1.308468,1.308787,50
2013-06-05 12:00:00,1.308787,1.309533,1.308596,1.309342,50
2013-06-05 13:00:00,1.309342,1.310124,1.309191,1.309972,50
2013-06-05 14:00:00,1.309972,1.310112,1.309806,1.309946,50
2013-06-05 15:00:00,1.309946,1.309960,1.309608,1.309622,50
2013-06-05 16:00:00,1.309622,1.310270,1.309408,1.310056,50
2013-06-05 17:00:00,1.310056,1.310270,1.309229,1.309444,50
2013-06-05 18:00:00,1.309444,1.309957,1.309361,1.309874,50
2013-06-05 19:00:00,1.309874,1.310241,1.309727,1.310093,50
2013-06-05 20:00:00,1.310093,1.310097,1.309762,1.309766,50
2013-06-05 21:00:00,1.309766,1.309884,1.308632,1.308750,50
2013-06-05 22:00:00,1.308750,1.309065,1.308603,1.308918,50
2013-06-05 23:00:00,1.308918,1.308988,1.308660,1.308729,50
2013-06-06 00:00:00,1.308729,1.323353,1.307715,1.322339,50
2013-06-06 01:00:00,1.322339,1.323076,1.319639,1.320377,50
2013-06-06 02:00:00,1.320377,1.320525,1.315208,1.315356,50
2013-06-06 03:00:00,1.315356,1.315663,1.311953,1.312259,50
2013-06-06 04:00:00,1.312259,1.313423,1.311573,1.312736,50
2013-06-06 05:00:00,1.312736,1.317325,1.311682,1.316270,50
2013-06-06 06:00:00,1.316270,1.316643,1.309705,1.310077,50
2013-06-06 07:00:00,1.310077,1.310222,1.306376,1.306521,50
2013-06-06 08:00:00,1.306521,1.308079,1.306040,1.307599,50
2013-06-06 09:00:00,1.307599,1.307914,1.307505,1.307820,50
2013-06-06 10:00:00,1.307820,1.308275,1.305050,1.305504,50
2013-06-06 11:00:00,1.305504,1.311615,1.304323,1.310434,50
2013-06-06 12:00:00,1.310434,1.311558,1.310185,1.311309,50
2013-06-06 13:00:00,1.311309,1.311718,1.309580,1.309989,50
2013-06-06 14:00:00,1.309989,1.314189,1.308942,1.313142,50
2013-06-06 15:00:00,1.313142,1.313418,1.311118,1.311394,50
2013-06-06 16:00:00,1.311394,1.318328,1.311239,1.318172,50
2013-06-06 17:00:00,1.318172,1.318509,1.316442,1.316778,50
2013-06-06 18:00:00,1.316778,1.324377,1.315951,1.323550,50
2013-06-06 19:00:00,1.323550,1.329043,1.322586,1.328079,50
2013-06-06 20:00:00,1.328079,1.328996,1.325405,1.326321,50
2013-06-06 21:00:00,1.326321,1.326644,1.326234,1.326557,50
2013-06-06 22:00:00,1.326557,1.326942,1.325007,1.325391,50
2013-06-06 23:00:00,1.325391,1.325548,1.324697,1.324854,50
2013-06-07 00:00:00,1.324854,1.325954,1.324711,1.325811,50
2013-06-07 01:00:00,1.325811,1.325944,1.324990,1.325123,50
2013-06-07 02:00:00,1.325123,1.326015,1.324941,1.325834,50
